DATE      ,TIME       ,LAT     ,LON      ,DEPTH,MAG,,,,,,,,,,,,,,,,
1975-04-24,35:54.6,27.4852,87.0013,35,5,,,,,,,,,,,,,,,,
1975-05-07,22:39.4,37.1011,72.0774,250,3.9,,,,,,,,,,,,,,,,
1975-05-08,56:05.5,32.3599,78.5413,13,4.8,,,,,,,,,,,,,,,,
1975-05-10,34:39.3,35.0793,73.0379,24,4.5,,,,,,,,,,,,,,,,
1975-05-11,48:37.8,31.9128,78.6289,12,4.9,,,,,,,,,,,,,,,,
1975-05-29,37:35.9,31.9117,78.416,12,4.8,,,,,,,,,,,,,,,,
1975-06-10,44:17.6,32.5363,78.4695,13,5,,,,,,,,,,,,,,,,
1975-06-22,24:06.5,37.1145,71.8282,142,3.9,,,,,,,,,,,,,,,,
1975-06-24,38:26.4,27.6554,87.5264,10,4.9,,,,,,,,,,,,,,,,
1975-07-02,06:28.3,32.475,78.4882,13,4.8,,,,,,,,,,,,,,,,
1975-07-19,10:54.2,31.8794,78.6034,23.9,5.2,,,,,,,,,,,,,,,,
1975-07-19,26:27.4,32.1059,78.6671,12,4.4,,,,,,,,,,,,,,,,
1975-07-21,26:35.7,32.0872,78.5052,12,4.8,,,,,,,,,,,,,,,,
1975-07-29,40:54.4,32.4541,78.4711,13,5.6,,,,,,,,,,,,,,,,
1975-08-15,06:47.6,35.3906,74.3668,53.2,4.3,,,,,,,,,,,,,,,,
1975-08-22,46:56.2,37.2771,72.0068,130,4.7,,,,,,,,,,,,,,,,
1975-08-23,08:56.7,30.5927,79.3241,17,4.3,,,,,,,,,,,,,,,,
1975-09-06,44:34.6,29.187,81.8084,13.5,5.2,,,,,,,,,,,,,,,,
1975-09-16,20:22.0,32.2933,76.2506,14,4.7,,,,,,,,,,,,,,,,
1975-09-19,59:31.1,31.9446,78.5725,12,4.9,,,,,,,,,,,,,,,,
1975-10-17,46:06.3,34.441,74.1758,26,4.3,,,,,,,,,,,,,,,,
1975-10-30,20:49.9,32.8684,75.7874,10,5.2,,,,,,,,,,,,,,,,
1975-10-30,36:44.1,32.9205,75.8865,28,5.2,,,,,,,,,,,,,,,,
1975-11-05,35:59.8,32.0127,78.8279,35,5.1,,,,,,,,,,,,,,,,
1975-11-06,11:31.4,29.7553,77.8465,10,4.9,,,,,,,,,,,,,,,,
1975-11-21,49:29.6,27.0106,86.5438,10,4.9,,,,,,,,,,,,,,,,
1975-11-26,02:36.0,28.0615,87.6792,71,5.1,,,,,,,,,,,,,,,,
1975-12-05,37:11.5,33.0132,76.0475,23.3,5.4,,,,,,,,,,,,,,,,
1975-12-10,26:10.1,32.8978,76.0926,22,5.4,,,,,,,,,,,,,,,,
1975-12-10,03:41.9,32.6941,76.2708,20,4.9,,,,,,,,,,,,,,,,
1975-12-10,08:41.9,33.0216,76.1055,28,4.8,,,,,,,,,,,,,,,,
1975-12-11,09:49.7,32.9437,76.155,28,5.1,,,,,,,,,,,,,,,,
1975-12-27,47:48.5,36.7553,71.8613,250,4.4,,,,,,,,,,,,,,,,
1976-01-07,24:53.2,32.9267,76.0629,30.6,5.3,,,,,,,,,,,,,,,,
1976-01-08,34:24.8,32.8945,76.1304,28,4.9,,,,,,,,,,,,,,,,
1976-01-09,50:11.6,32.6951,76.0411,28,4.6,,,,,,,,,,,,,,,,
1976-01-27,23:20.9,32.9786,75.9677,28,4.9,,,,,,,,,,,,,,,,
