LAT     ,LON      ,DEPTH,MAG,DATE      ,TIME       
33.5787,73.2683,16.5,5.2,2/14/1977,22:37.7
26.6216,92.9072,43,5.2,11/13/1977,02:32.9
27.7901,85.9202,15.1,5.2,10/4/1978,53:51.4
30.0799,81.6532,24.6,5.2,6/22/1980,38:54.0
32.9862,75.7705,12.4,5.2,8/23/1980,36:51.4
32.9156,75.7221,16.4,5.2,8/23/1980,50:02.5
31.3862,73.1992,37.9,5.2,3/3/1981,43:29.4
29.4246,81.9254,22.7,5.2,5/15/1981,22:43.8
27.3412,88.7558,17.5,5.2,4/5/1982,19:43.8
27.7587,94.7202,27.9,5.2,11/26/1982,26:30.8
26.8858,92.865,35,5.2,2/2/1983,44:07.7
26.6058,93.332,54.9,5.2,9/6/1987,38:55.1
28.9906,94.7356,24.5,5.2,5/9/1988,03:39.4
27.1983,88.3239,24.2,5.2,9/27/1988,10:11.2
36.9256,73.1053,18.8,5.2,3/25/1990,10:39.8
37.156,72.8899,16.4,5.2,7/2/1990,47:42.8
26.6154,92.6676,50.2,5.2,9/2/1990,29:27.2
28.9029,81.897,53.5,5.2,6/2/1992,07:46.2
28.775,82.2347,25.3,5.2,10/20/1993,15:59.9
27.5953,92.4032,32.4,5.2,2/17/1995,44:26.0
28.0508,85.2138,13.8,5.2,1/31/1997,02:16.7
27.3164,91.0921,25,5.2,7/8/1998,45:00.0
27.5514,91.069,24.5,5.2,8/18/1998,10:22.9
27.7404,87.8501,60.8,5.2,11/26/1998,14:27.8
35.1862,77.4391,24.4,5.2,6/19/2000,41:48.1
27.2969,91.9786,18.1,5.2,11/6/2001,09:25.0
35.5906,74.6696,36,5.2,11/2/2002,27:28.3
28.6166,95.0429,35,5.2,11/30/2002,52:04.7
35.2557,74.4862,15.9,5.2,10/31/2004,10:38.5
34.6439,73.1323,22,5.2,10/8/2005,01:22.0
34.7478,73.2792,11.2,5.2,10/8/2005,44:51.5
34.7342,73.2463,20.2,5.2,10/13/2005,49:23.8
34.5385,73.411,19.3,5.2,11/6/2005,11:54.2
30.5131,79.2366,37.8,5.2,12/14/2005,09:53.3
34.6419,73.3296,19.6,5.2,12/25/2005,02:07.2
26.9283,91.6532,10,5.2,2/23/2006,07:26.4
35.0026,77.4057,17.3,5.2,12/11/2007,56:38.7
27.2496,91.3696,23.1,5.2,10/29/2009,00:37.9
29.7903,80.4282,19.4,5.2,7/6/2010,08:23.8
28.8758,95.1137,31.1,5.2,4/16/2013,34:12.9
33.2792,75.8534,26.7,5.2,8/2/2013,37:43.5
27.5796,85.5542,12.9,5.2,4/25/2015,55:56.4
26.8348,88.0797,19.6,5.2,4/27/2015,35:51.9
27.6801,86.1084,9.8,5.2,5/12/2015,21:09.9
34.4906,73.6582,11.4,5.2,7/2/2015,18:23.8
27.8644,85.457,23.4,5.2,2/5/2016,20:11.5
35.6662,74.7797,28.3,5.2,12/30/2019,50:00.0
27.7705,85.8654,11.8,5.2,9/15/2020,34:03.6
34.1338,79.1566,7.4,5.2,10/5/2020,43:20.4
35.5424,74.902,19.7,5.2,12/27/2021,31:05.8
27.2007,86.7589,12.1,5.2,7/31/2022,28:09.6
30.0496,82.1363,21,5.1,5/24/1964,00:50.2
27.4404,88.2322,22,5.1,8/30/1964,35:08.7
35.5649,73.3805,37,5.1,1/29/1965,06:05.5
26.6941,92.2023,47,5.1,4/11/1965,33:05.8
37.3388,73.0494,35,5.1,8/24/1966,46:59.7
29.3059,81.7845,31,5.1,12/18/1967,51:36.0
